input_address,score,CHI_Region,chi_district,chi_estate,OGCIO_CHI_BuildingName,OGCIO_CHI_StreetName,OGCIO_CHI_BuildingNo,OGCIO_CHI_Block,OGCIO_ENG_Region,OGCIO_ENG_District,OGCIO_ENG_Estate,OGCIO_ENG_BuildingName,OGCIO_ENG_StreetName,OGCIO_ENG_BuildingNo,OGCIO_ENG_Block
香港仔香港仔大道166至168號,92,香港,南區,,,香港仔大道,168,,HK,SOUTHERN DISTRICT,,,ABERDEEN MAIN ROAD,168,
銅鑼灣謝斐道488號,63,香港,灣仔區,,滙創大廈,謝斐道,488,,HK,WAN CHAI DISTRICT,,WELL-FOUND BUILDING,JAFFE ROAD,488,
中環德輔道中24號地下大堂,80,香港,中西區,,創興銀行中心,德輔道中,24,,HK,CENTRAL & WESTERN DISTRICT,,CHONG HING BANK CENTRE,DES VOEUX ROAD CENTRAL,24,
中環德輔道中24號地下大堂,80,香港,中西區,,創興銀行中心,德輔道中,24,,HK,CENTRAL & WESTERN DISTRICT,,CHONG HING BANK CENTRE,DES VOEUX ROAD CENTRAL,24,
北角英皇道376號,70,香港,東區,,美麗閣,英皇道,376,,HK,EASTERN DISTRICT,,MARY COURT,KING'S ROAD,376,
筲箕灣筲箕灣道203至205號,77,香港,東區,,,筲箕灣道,203,,HK,EASTERN DISTRICT,,,SHAU KEI WAN ROAD,203,
灣仔軒尼詩道265至267號,72,香港,灣仔區,,祥興大廈,軒尼詩道,265,,HK,WAN CHAI DISTRICT,,CHONG HING BUILDING,HENNESSY ROAD,265,
西環德輔道西347至349號,77,香港,中西區,,豐業大廈,德輔道西,347,,HK,CENTRAL & WESTERN DISTRICT,,FUNG YIP BUILDING,DES VOEUX ROAD WEST,347,
西環德輔道西81至85號,88,香港,中西區,,潮州會館,德輔道西,81,,HK,CENTRAL & WESTERN DISTRICT,,CHIU CHOW ASSOCIATION BUILDING,DES VOEUX ROAD WEST,81,
佐敦吳松街120號地下,88,九龍,油尖旺區,,餘慶大廈,吳松街,120,,KLN,YAU TSIM MONG DISTRICT,,YU HING MANSION,WOOSUNG STREET,120,
九龍灣宏開道8號其士商業中心地下8號舖,100,九龍,觀塘區,,其士商業中心,宏開道,8,,KLN,KWUN TONG DISTRICT,,CHEVALIER COMMERCIAL CENTRE,WANG HOI ROAD,8,
九龍城衙前圍道31至33號,92,九龍,九龍城區,,,衙前圍道,31,,KLN,KOWLOON CITY DISTRICT,,,NGA TSIN WAI ROAD,31,
觀塘物華街31至33號,88,九龍,觀塘區,,南洋大樓,物華街,33,,KLN,KWUN TONG DISTRICT,,NAM YEUNG MANSION,MUT WAH STREET,33,
觀塘巧明街114號,88,九龍,觀塘區,,迅達工業大廈,巧明街,114,,KLN,KWUN TONG DISTRICT,,SPEEDY INDUSTRIAL BUILDING,HOW MING STREET,114,
德田邨德田廣場207號,60,九龍,觀塘區,德田邨,德田廣場,碧雲道,223,,KLN,KWUN TONG DISTRICT,TAK TIN ESTATE,TAK TIN PLAZA,PIK WAN ROAD,223,
旺角彌敦道591號,75,九龍,油尖旺區,,豐怡中心,彌敦道,591,,KLN,YAU TSIM MONG DISTRICT,,THE HARVEST,NATHAN ROAD,591,
牛頭角順利邨利溢樓,78,九龍,觀塘區,順利邨,利溢樓,利安道,15,,KLN,KWUN TONG DISTRICT,SHUN LEE ESTATE,LEE YAT HOUSE,LEE ON ROAD,15,
新蒲崗衍慶街55至57號,73,九龍,黃大仙區,,寶興大廈,衍慶街,57,,KLN,WONG TAI SIN DISTRICT,,PO HING MANSION,YIN HING STREET,57,
深水埗大埔道144至148號,50,九龍,深水埗區,,基督教香港崇真會深水埗堂,大埔道,58,,KLN,SHAM SHUI PO DISTRICT,,TSUNG TSIN MISSION OF HONG KONG SHAMSHUIPO CHURCH,TAI PO ROAD,58,
深水埗青山道285至287號,77,九龍,深水埗區,,,青山道,285,,KLN,SHAM SHUI PO DISTRICT,,,CASTLE PEAK ROAD,285,
大角咀荔枝角道139號,80,九龍,油尖旺區,,,荔枝角道,139,,KLN,YAU TSIM MONG DISTRICT,,,LAI CHI KOK ROAD,139,
土瓜灣譚公道34至34A號,76,九龍,九龍城區,,建安大廈,譚公道,34,,KLN,KOWLOON CITY DISTRICT,,KIN ON MANSION,TAM KUNG ROAD,34,
尖沙咀加連威老道16號,73,九龍,油尖旺區,,加連威大廈,加連威老道,16,,KLN,YAU TSIM MONG DISTRICT,,GRANVILLE BUILDING,GRANVILLE ROAD,16,
黃大仙雙鳳街60至64號,77,九龍,黃大仙區,,,雙鳳街,60,,KLN,WONG TAI SIN DISTRICT,,,SHEUNG FUNG STREET,60,
油塘鯉魚門廣場地下下層LG1號舖,70,九龍,觀塘區,,鯉魚門廣場,鯉魚門道,80,,KLN,KWUN TONG DISTRICT,,LEI YUE MUN PLAZA,LEI YUE MUN ROAD,80,
粉嶺聯和墟和隆街2號,76,新界,北區,,寶寧樓,和隆街,2,,NT,NORTH DISTRICT,,PO LING BUILDING,WO LUNG STREET,2,
葵涌祖堯邨敬祖路C座地下,72,新界,葵青區,祖堯邨,祖堯坊,敬祖路,6,,NT,KWAI TSING DISTRICT,CHO YIU CHUEN,CHO YIU CENTRE,KING CHO ROAD,6,
馬鞍山恆安邨恆安商場3樓,75,新界,沙田區,恒安邨,恒安商場 恒安體育館,恆錦街,1,,NT,SHA TIN DISTRICT,HENG ON ESTATE,HENG ON SHOPPING CENTRE HENG ON SPORTS CENTRE,HANG KAM STREET,1,
上水新豐路71號,88,新界,北區,,,新豐路,71,,NT,NORTH DISTRICT,,,SAN FUNG AVENUE,71,
天水圍天澤邨天澤商場1樓112號舖,78,新界,元朗區,天澤邨,天澤商場,天瑞路,77,,NT,YUEN LONG DISTRICT,TIN CHAK ESTATE,TIN CHAK SHOPPING CENTRE,TIN SHUI ROAD,77,
將軍澳尚德邨尚德商場237號,66,新界,西貢區,尚德邨,尚智樓,唐明街,2,,NT,SAI KUNG DISTRICT,SHEUNG TAK ESTATE,SHEUNG CHI HOUSE,TONG MING STREET,2,
荃灣沙咀道298號翡翠廣場地下,96,新界,荃灣區,,翡翠廣場,沙嘴道,298,,NT,TSUEN WAN DISTRICT,,JADE PLAZA,SHA TSUI ROAD,298,
屯門鄉事會路117號康麗花園地下,87,新界,屯門區,康麗花園,屯門康麗花園商場,屯門鄉事會路,117,,NT,TUEN MUN DISTRICT,HONG LAI GARDEN,TUEN MUN HONG LAI GARDEN SHOPPING CENTRE,TUEN MUN HEUNG SZE WUI ROAD,117,
屯門良景邨良景廣場 2 樓 L220 號舖,70,新界,屯門區,良景邨,良景廣場,田景路,31,,NT,TUEN MUN DISTRICT,LEUNG KING ESTATE,LEUNG KING PLAZA,TIN KING ROAD,31,
屯門龍門路45號富健花園82號,91,新界,屯門區,富健花園,一座,龍門路,45,,NT,TUEN MUN DISTRICT,GLORIOUS GARDEN,BLOCK 1,LUNG MUN ROAD,45,
元朗青山道99至109號,62,九龍,深水埗區,,福至工業大廈,青山道,658,,KLN,SHAM SHUI PO DISTRICT,,FAST INDUSTRIAL BUILDING,CASTLE PEAK ROAD,658,
大嶼山東涌逸東邨逸東商場地下1及2號舖,78,新界,離島區,逸東邨,逸東商場,逸東街,8,,NT,ISLANDS DISTRICT,YAT TUNG ESTATE,YAT TUNG SHOPPING CENTRE,YAT TUNG STREET,8,
新界天水圍置富嘉湖2期1樓103號,83,新界,元朗區,,嘉湖,天恩路,18,2,NT,YUEN LONG DISTRICT,,+WOO,TIN YAN ROAD,18,2
新界沙田瀝源邨瀝源廣場212號鋪,88,新界,沙田區,瀝源邨,瀝源商場,瀝源街,6,,NT,SHA TIN DISTRICT,LEK YUEN ESTATE,LEK YUEN SHOPPING CENTRE,LEK YUEN STREET,6,
新界屯門兆康站SIH 34舖,50,新界,屯門區,,港鐵兆康站,青麟路,,,NT,TUEN MUN DISTRICT,,MTR SIU HONG STATION,TSING LUN ROAD,,
新界屯門兆康站SIH 34舖,50,新界,屯門區,,港鐵兆康站,青麟路,,,NT,TUEN MUN DISTRICT,,MTR SIU HONG STATION,TSING LUN ROAD,,
中環德輔道中24號3樓,80,香港,中西區,,創興銀行中心,德輔道中,24,,HK,CENTRAL & WESTERN DISTRICT,,CHONG HING BANK CENTRE,DES VOEUX ROAD CENTRAL,24,
葵涌邨葵涌商場二樓平台自動櫃員機5號,78,新界,葵青區,葵涌邨,葵涌商場,,,,NT,KWAI TSING DISTRICT,KWAI CHUNG ESTATE,KWAI CHUNG SHOPPING CENTRE,,,
九龍茘枝角道833號昇悦商場一樓號舖旁邊位置,100,九龍,深水埗區,昇悅居,昇悅商場,荔枝角道,833,,KLN,SHAM SHUI PO DISTRICT,LIBERTE,LIBERTE PLACE,LAI CHI KOK ROAD,833,
青衣長發邨長發廣場2樓206A號舖,64,新界,葵青區,長發邨,長發廣場青衣市場,担杆山路,6,,NT,KWAI TSING DISTRICT,CHEUNG FAT ESTATE,CHEUNG FAT PLAZA MARITIME MARKET,TAM KON SHAN ROAD,6,
大埔太和路12號太和廣場1樓101 I 號舖,91,新界,大埔區,太和邨,太和廣場,大埔太和路,12,,NT,TAI PO DISTRICT,TAI WO ESTATE,TAI WO PLAZA,TAI PO TAI WO ROAD,12,
"新界天水圍天瑞路71,73,75及77號天澤邨天澤商場2樓218號舖",85,新界,元朗區,天澤邨,天澤服務設施大樓,天瑞路,71,,NT,YUEN LONG DISTRICT,TIN CHAK ESTATE,TIN CHAK ANCILLARY FACILITIES BLOCK,TIN SHUI ROAD,71,
大嶼山東涌逸東邨逸東商場地下1及2號舖,78,新界,離島區,逸東邨,逸東商場,逸東街,8,,NT,ISLANDS DISTRICT,YAT TUNG ESTATE,YAT TUNG SHOPPING CENTRE,YAT TUNG STREET,8,
香港仔中心商場第三期一號舖及地庫,78,香港,東區,筲箕灣中心,筲箕灣中心商塲,筲箕灣道,407,,HK,EASTERN DISTRICT,SHAUKIWAN CENTRE,SHAUKIWAN CENTRE SHOPPING ARCADE,SHAU KEI WAN ROAD,407,
金鐘夏愨道18號海富中心商場1樓10號舖,90,香港,中西區,海富中心,,夏慤道,18,,HK,CENTRAL & WESTERN DISTRICT,ADMIRALTY CENTRE,,HARCOURT ROAD,18,
銅鑼灣軒尼詩道482號,66,香港,灣仔區,,銅鑼灣廣場,軒尼詩道,489,,HK,WAN CHAI DISTRICT,,CAUSEWAY BAY PLAZA,HENNESSY ROAD,489,
中環德輔道中19號環球大廈,91,香港,中西區,,環球大廈,德輔道中,19,,HK,CENTRAL & WESTERN DISTRICT,,WORLD WIDE HSE,DES VOEUX ROAD CENTRAL,19,
中環德輔道中19號環球大廈,91,香港,中西區,,環球大廈,德輔道中,19,,HK,CENTRAL & WESTERN DISTRICT,,WORLD WIDE HSE,DES VOEUX ROAD CENTRAL,19,
柴灣盛泰街100號杏花村杏花新城地下G59號,93,香港,東區,杏花邨,杏花新城,盛泰道,100,,HK,EASTERN DISTRICT,HENG FA CHUEN,PARADISE MALL,SHING TAI ROAD,100,
跑馬地毓秀街13號金毓大廈地下A號舖,91,香港,灣仔區,,金毓大廈,毓秀街,13,,HK,WAN CHAI DISTRICT,,KAM YUK MANSION,YUK SAU STREET,13,
北角英皇道433-437號珠璣大廈,82,香港,東區,,珠璣大廈,英皇道,437,,HK,EASTERN DISTRICT,,CHU KEE BUILDING,KING'S ROAD,437,
北角英皇道293-299號璇宮大廈地下15-22號舖及地庫,85,香港,東區,,璇宮大廈,英皇道,293,,HK,EASTERN DISTRICT,,EMPIRE APARTMENTS,KING'S ROAD,293,
香港港島東太古城太裕路1號安盛台地下501號舖,100,香港,東區,太古城,寶安閣,太裕路,1,,HK,EASTERN DISTRICT,TAIKOO SHING,PO ON MANSION,TAI YUE AVENUE,1,
筲箕灣筲箕灣道57-87號太安樓地下G8號舖,85,香港,東區,,太安樓,筲箕灣道,57,,HK,EASTERN DISTRICT,,TAI ON BUILDING,SHAU KEI WAN ROAD,57,
上環德輔道中288號易通商業大廈地下B2號鋪連1/F B室,91,香港,中西區,,易通商業大廈,德輔道中,288,,HK,CENTRAL & WESTERN DISTRICT,,ETON BUILDING,DES VOEUX ROAD CENTRAL,288,
灣仔莊士敦道164號,88,香港,灣仔區,,美華大廈,莊士敦道,164,,HK,WAN CHAI DISTRICT,,MEI WAH BUILDING,JOHNSTON ROAD,164,
灣仔告士打道108號大新金融中心地下,88,香港,灣仔區,,光大中心,告士打道,108,,HK,WAN CHAI DISTRICT,,EVERBRIGHT CENTRE,GLOUCESTER ROAD,108,
灣仔告士打道108號大新金融中心地下,88,香港,灣仔區,,光大中心,告士打道,108,,HK,WAN CHAI DISTRICT,,EVERBRIGHT CENTRE,GLOUCESTER ROAD,108,
西環皇后大道西443-453號地下15-16號舖,77,香港,中西區,,業昌大廈,皇后大道西,443,,HK,CENTRAL & WESTERN DISTRICT,,YIP CHEUNG BUILDING,QUEEN'S ROAD WEST,443,
"九龍紅磡蕪湖街28號昌隆閣地下3 及4號舖, 1樓2 號舖及2樓3 號舖",100,九龍,九龍城區,,昌隆閣,蕪湖街,28,,KLN,KOWLOON CITY DISTRICT,,CHERON COURT,WUHU STREET,28,
佐敦彌敦道335號,82,九龍,油尖旺區,,高怡醫務中心,彌敦道,335,,KLN,YAU TSIM MONG DISTRICT,,BRIGHT GROWTH MEDICAL CENTRE,NATHAN ROAD,335,
九龍灣展貿徑一號國際展貿中心地下陳列櫃01B,78,九龍,觀塘區,,九龍灣國際展貿中心,展貿徑,1,,KLN,KWUN TONG DISTRICT,,KOWLOONBAY INTERNATIONAL TRADE & EXHIBITION CENTRE,TRADEMART DRIVE,1,
九龍灣德福廣場一期二樓F5A-F6A號,73,九龍,觀塘區,德福花園,德福廣場一期,偉業街,33,,KLN,KWUN TONG DISTRICT,TELFORD GARDENS,TELFORD PLAZA I,WAI YIP STREET,33,
九龍觀塘成業街10號地下A舖,95,九龍,觀塘區,,電訊一代廣場,成業街,10,,KLN,KWUN TONG DISTRICT,,T G PLACE,SHING YIP STREET,10,
九龍觀塘康寧道45 號宜安中心地下７ -９號舖,100,九龍,觀塘區,,宜安中心,康寧道,45,,KLN,KWUN TONG DISTRICT,,YEE ON CENTRE,HONG NING ROAD,45,
樂富橫頭磡樂富廣場1樓1101&1102號舖,70,九龍,黃大仙區,樂富邨,樂富廣場,聯合道,198,,KLN,WONG TAI SIN DISTRICT,LOK FU ESTATE,LOK FU PLAZA,JUNCTION ROAD,198,
美孚新邨萬事達廣場1樓N95號C舖,70,九龍,深水埗區,美孚新邨,,萬事達廣場,1,,KLN,SHAM SHUI PO DISTRICT,MEI FOO SUN CHUEN,,MOUNT STERLING MALL,1,
旺角彌敦道697號,75,九龍,油尖旺區,,永如大廈,彌敦道,697,,KLN,YAU TSIM MONG DISTRICT,,WINNER MANSION,NATHAN ROAD,697,
九龍長沙灣道889號華創中心地下1號鋪,100,九龍,深水埗區,,華創中心,長沙灣道,889,,KLN,SHAM SHUI PO DISTRICT,,CRE CENTRE,CHEUNG SHA WAN ROAD,889,
九龍土瓜灣道245B及247號美景樓第2期地下,93,九龍,九龍城區,美景樓,,土瓜灣道,245B,II,KLN,KOWLOON CITY DISTRICT,MEI KING MANSION,,TO KWA WAN ROAD,245B,II
尖沙咀彌敦道66-70號金冠大廈,82,九龍,油尖旺區,,金冠大廈,彌敦道,70,,KLN,YAU TSIM MONG DISTRICT,,GOLDEN CROWN COURT,NATHAN ROAD,70,
油麻地彌敦道561號,72,九龍,油尖旺區,,,彌敦道,561,,KLN,YAU TSIM MONG DISTRICT,,,NATHAN ROAD,561,
新界葵涌興芳路177號葵芳邨葵芳廣場1樓116號,100,新界,葵青區,葵芳邨,葵芳廣場,興芳路,177,,NT,KWAI TSING DISTRICT,KWAI FONG ESTATE,KWAI FONG PLAZA,HING FONG ROAD,177,
新界馬鞍山西沙路608號馬鞍山廣場三樓335號舖,100,新界,沙田區,海栢花園,馬鞍山廣場,西沙路,608,,NT,SHA TIN DISTRICT,BAYSHORE TOWERS,MA ON SHAN PLAZA,SAI SHA ROAD,608,
沙田 好運中心地下9號舖,64,新界,沙田區,好運中心,棕林閣,橫壆街,1,,NT,SHA TIN DISTRICT,LUCKY PLAZA,CHUNG LAM COURT,WANG POK STREET,1,
上水新豐路55-59號兆啓樓地下B號舖,78,新界,北區,,兆計樓,新豐路,59,,NT,NORTH DISTRICT,,SIU KAI HOUSE,SAN FUNG AVENUE,59,
大埔安泰路1號大埔廣場地下53號及54號舖,97,新界,大埔區,大埔廣場,,安泰路,1,,NT,TAI PO DISTRICT,TAI PO PLAZA,,ON TAI ROAD,1,
新界沙田大圍道55-56號積輝街14-18號金禧花園地下1及2號舖,83,新界,沙田區,金禧花園,,積輝街,14,,NT,SHA TIN DISTRICT,GRANDEUR GARDEN,,CHIK FAI STREET,14,
新界元朗天水圍天靖街3號天盛苑天盛商場1樓L120號舖,100,新界,元朗區,天盛苑,天盛商場,天靖街,3,,NT,YUEN LONG DISTRICT,TIN SHING COURT,TIN SHING SHOPPING CENTRE,TIN CHING STREET,3,
將軍澳唐俊街9號君薈坊地下層G10號商鋪,97,新界,西貢區,君傲灣,POPCORN II,唐俊街,9,,NT,SAI KUNG DISTRICT,THE GRANDIOSE,POPCORN II,TONG CHUN STREET,9,
將軍澳MCP Discovery一樓127號舖,50,新界,西貢區,新都城,新都城中心三期,貿業路,8,,NT,SAI KUNG DISTRICT,METRO CITY,MCP DISCOVERY,MAU YIP ROAD,8,
青衣青敬路33號青衣城108D-E號舖,91,新界,葵青區,盈翠半島,青衣城,青敬路,33,,NT,KWAI TSING DISTRICT,TIERRA VERDE,MARITIME SQUARE,TSING KING ROAD,33,
荃灣大河道14-16號登發大廈,82,新界,荃灣區,,登發大廈,大河道,14,,NT,TSUEN WAN DISTRICT,,DUNG FAT MANSION,TAI HO ROAD,14,
荃灣沙咀道288號地下,62,新界,荃灣區,,沙咀道３９號,沙咀道,37,,NT,TSUEN WAN DISTRICT,,39 SHA TSUI ROAD,SHA TSUI ROAD,37,
屯門湖翠路168-236號海趣坊93-95號舖,88,新界,屯門區,海翠花園,海趣坊,湖翠路,168,,NT,TUEN MUN DISTRICT,PIERHEAD GARDEN,OCEAN WALK,WU CHUI ROAD,168,
大嶼山東涌慶東街1號東堤灣畔地下23號舖,91,新界,離島區,東堤灣畔,,慶東街,1,1,NT,ISLANDS DISTRICT,TUNG CHUNG CRESCENT,,HING TUNG STREET,1,1
新界元朗青山公路元朗段162-168號聯昇樓地下C號舖,95,新界,元朗區,,聯昇樓,青山公路元朗段,162,,NT,YUEN LONG DISTRICT,,LEN SHING MANSION,CASTLE PEAK ROAD YUEN LONG,162,
"香港太古城道18號太古城中心商場2期B1層, APITA",96,香港,東區,太古城,太古城中心,太古城道,18,,HK,EASTERN DISTRICT,TAIKOO SHING,CITYPLAZA,TAIKOO SHING ROAD,18,
新界屯門鄉事會道52-62號萬祥樓地下4號及5號舖,83,新界,屯門區,,萬祥樓,屯門鄉事會路,62,,NT,TUEN MUN DISTRICT,,MAN CHEUNG MANSION,TUEN MUN HEUNG SZE WUI ROAD,62,
九龍黃大仙正德街103號黃大仙中心地下G3C號舖,98,九龍,黃大仙區,黃大仙下邨(二區),黃大仙中心南館,正德街,103,,KLN,WONG TAI SIN DISTRICT,LOWER WONG TAI SIN (II) ESTATE,TEMPLE MALL SOUTH,CHING TAK STREET,103,
香港士美菲路12號文光閣地下A2號舖及1樓A室,100,香港,中西區,,文光閣,士美菲路,12,,HK,CENTRAL & WESTERN DISTRICT,,MAN KWONG COURT,SMITHFIELD,12,
粉嶺百和路88號花都廣場地下A11-A14及110-112號舖,66,新界,北區,花都廣場,,百和路,88,,NT,NORTH DISTRICT,FLORA PLAZA,,PAK WO ROAD,88,
香港仔大道184號港基大廈地下B舖,100,香港,南區,,港基大廈,香港仔大道,184,,HK,SOUTHERN DISTRICT,,KONG KAI BUILDING,ABERDEEN MAIN ROAD,184,
銅鑼灣軒尼詩道447號地下,66,香港,灣仔區,,銅鑼灣廣場,軒尼詩道,489,,HK,WAN CHAI DISTRICT,,CAUSEWAY BAY PLAZA,HENNESSY ROAD,489,
香港德輔道中120號大眾銀行中心地下,100,香港,中西區,,大眾銀行中心,德輔道中,120,,HK,CENTRAL & WESTERN DISTRICT,,PUBLIC BANK CENTRE,DES VOEUX ROAD CENTRAL,120,
香港德輔道中120號大眾銀行中心地下,100,香港,中西區,,大眾銀行中心,德輔道中,120,,HK,CENTRAL & WESTERN DISTRICT,,PUBLIC BANK CENTRE,DES VOEUX ROAD CENTRAL,120,
